gene	3hr	24hr	
RPA3	8.2476	7.8246	
PIP4K2B	5.4588	6.4786	
TES	11.2735	12.3767	
MYCBP2	6.2303	7.45875	
SPR	10.5459	8.86565	
PGRMC1	13.2477	12.9419	
RELB	7.34495	7.09385	
AARS	10.6287	11.8528	
EPHB2	5.99575	5.3764	
GPC1	9.2653	9.209	
RPIA	9.03855	9.11595	
ELAC2	10.9128	11.8075	
GPR56	10.9943	11.9312	
NVL	8.72385	9.3583	
PLSCR1	7.75025	7.74275	
CHEK1	8.3052	7.7029	
CTSL1	9.3036	8.34405	
CTSD	11.455	12.3197	
ME2	6.94755	7.45135	
ARHGEF2	7.10015	7.49925	
PDGFA	7.9138	7.0328	
ILK	8.06585	8.596	
WDR67	8.39615	7.6037	
NFIL3	5.791	6.3393	
RFC2	8.24215	6.89595	
ARL4C	8.5704	9.47205	
TIMM9	11.0423	10.0273	
CPNE3	9.87155	10.1107	
ORC1	10.2793	11.0414	
C5	5.7896	5.8875	
PARP2	7.46405	6.9889	
FASTKD5	7.82075	8.44825	
SCRN1	8.41625	8.3661	
MAN2B1	8.84715	8.54585	
PTPLAD1	9.05125	10.9552	
MSRA	7.05465	7.0759	
NFKBIA	8.00815	7.6845	
DCTD	9.3214	9.32335	
SYNE2	6.72035	6.8849	
MBNL1	8.02945	7.61885	
UBE3C	11.0864	11.9766	
CCDC92	6.5478	6.3523	
MYCBP	10.0113	10.1984	
CXCL2	5.46495	5.58205	
PTPN1	10.2709	10.9924	
BRP44	11.5764	11.2195	
TIMM22	8.736	8.09705	
ATF5	9.18355	10.1481	
ECD	9.2858	8.0134	
CIRBP	8.6544	6.7533	
NSDHL	8.81875	9.0835	
ADI1	10.9642	10.6042	
NFKBIE	5.83485	6.72935	
ADCK3	5.4455	9.79275	
PRSS23	10.653	10.0778	
CCNH	7.9286	7.1866	
GDPD5	6.4601	5.97045	
P4HA2	4.7732	5.92945	
TARBP1	8.5624	8.84475	
ATP6V0B	6.7229	5.3466	
RBKS	5.5406	5.7911	
CAPN1	7.927	8.1228	
KDM3A	7.26065	7.31695	
BID	8.1111	8.36395	
STXBP1	5.10365	5.6602	
ITGB5	13.0339	13.1612	
MTF2	9.2736	8.9194	
HLA-DRA	6.2054	6.191	
SLC11A2	8.2235	8.56365	
PDIA5	6.6667	4.852	
PIK3C2B	5.6748	8.60525	
RAP1GAP	9.13535	8.7485	
SLC25A46	9.0274	9.1109	
CDK19	8.674	8.09425	
NOLC1	8.17495	8.1554	
CAT	11.2085	11.6175	
KIAA0753	7.8288	8.69465	
DUSP14	8.2797	7.6311	
KAT6B	7.44195	6.17845	
CHN1	5.2883	4.1555	
HMGA2	5.38365	5.56215	
IGFBP3	5.50805	5.3513	
MAPK13	9.7295	10.0618	
TRIB1	7.32375	7.24895	
UFM1	10.6476	10.4158	
GNA15	6.8299	7.3722	
TP53BP1	8.8034	9.1147	
FRS2	6.95055	6.7614	
IARS2	12.2411	10.7315	
BECN1	9.08665	8.85	
GATA2	8.14925	8.62145	
KDELR2	7.6304	7.31035	
RALGDS	8.72595	8.4901	
ELAVL1	7.43485	7.9576	
NRIP1	9.04775	8.9815	
CCNB2	13.6096	13.3743	
IFNAR1	7.844	8.5086	
MIF	14.9843	14.6189	
RNPS1	12.767	13.3474	
DAG1	7.66765	7.81625	
SATB1	4.49805	5.04025	
ARID4B	6.87845	7.5303	
IGF2BP2	6.3087	6.0134	
GSTZ1	8.43765	8.2612	
IGF2R	8.8866	9.59425	
SESN1	6.6496	6.6718	
TIPARP	10.0871	9.86595	
CRTAP	5.81455	5.67575	
SPEN	7.80705	6.564	
GMNN	11.0912	10.666	
PFKL	9.77455	10.5377	
CYTH1	6.39765	6.14965	
PDHX	9.94455	9.603	
DENND2D	5.6202	7.07345	
PRCP	7.7399	7.7532	
CTTN	6.49495	6.19405	
SMARCA4	6.57655	7.27575	
PYGL	7.8981	6.88145	
UBR7	7.0158	8.29545	
GRB7	10.5153	11.417	
RPA2	7.8012	8.14785	
CD44	12.7065	13.9902	
ERBB3	7.43475	7.57375	
GTF2E2	9.2144	8.8923	
VAV3	7.4639	6.55195	
ABHD6	6.6245	6.9143	
ANXA7	9.73215	8.2631	
MAPKAPK2	9.6636	10.427	
TXNRD1	14.1007	14.7062	
