gene	3hr	24hr	
RAD9A	nan	5.6536	
DRAP1	nan	11.9121	
SPP1	nan	4.2426	
HYOU1	nan	9.8093	
PCMT1	nan	11.1525	
FOS	nan	4.8262	
FYN	nan	6.1218	
MCOLN1	nan	6.192	
MYC	nan	10.5694	
ID2	nan	6.8621	
POLB	nan	7.2398	
CETN3	nan	7.968	
KCNK1	nan	4.2245	
AXIN1	nan	6.4101	
SMC4	nan	11.9605	
RAI14	nan	11.9326	
SMARCD2	nan	7.8429	
DNAJC15	nan	8.626	
MPZL1	nan	10.2139	
HOXA10	nan	8.9796	
NRAS	nan	9.7849	
CASP2	nan	6.5317	
EBNA1BP2	nan	11.4071	
CTNND1	nan	10.1891	
TATDN2	nan	6.5905	
LRPAP1	nan	10.2614	
ZNF131	nan	8.4325	
BNIP3L	nan	10.5916	
HOOK2	nan	5.4567	
ERBB2	nan	9.6669	
TBPL1	nan	8.2096	
INTS3	nan	8.3982	
RAE1	nan	9.0885	
CDK1	nan	11.3255	
RFNG	nan	9.7644	
MICALL1	nan	7.2063	
SLC35A1	nan	8.5335	
KLHL21	nan	5.2961	
NIPSNAP1	nan	9.1531	
BCL7B	nan	6.8864	
TLE1	nan	9.7905	
FZD7	nan	9.088	
TIMELESS	nan	10.2177	
COG2	nan	7.8441	
DHX29	nan	7.1539	
MMP2	nan	9.0108	
MRPS2	nan	9.7978	
KCTD5	nan	7.2265	
TCEA2	nan	8.9891	
CNPY3	nan	8.221	
FHL2	nan	12.4446	
ADAM10	nan	9.9456	
