gene	3hr	24hr	
GLRX	8.2107	8.4134	
MVP	10.1572	10.3524	
RFC5	9.2846	9.0835	
HES1	8.1201	8.6747	
STMN1	9.7607	9.861	
GALE	9.1657	9.4944	
KLHL9	6.9099	6.7913	
PTPRF	9.2497	7.8947	
UBE2J1	8.912	7.825	
PGM1	9.6259	10.2232	
SLC37A4	6.9027	6.4788	
LOXL1	6.2453	5.7272	
PLK1	10.504	10.6416	
MYO10	7.9714	9.0691	
NPRL2	8.4119	7.8364	
LIPA	9.8747	9.5496	
PWP1	10.2744	10.7798	
PHGDH	8.8586	8.5942	
PLEKHM1	11.1952	8.0572	
ST7	6.7645	6.6205	
VAT1	8.5014	9.1363	
IKBKB	5.9885	6.5193	
KIF20A	10.1373	10.8838	
CDH3	9.959	10.5542	
PCM1	6.1999	7.1622	
IER3	10.0655	10.2617	
SSBP2	6.7418	5.5173	
FAT1	9.4116	9.88	
SNX11	6.809	6.0592	
RNMT	8.1178	7.8902	
SFN	11.5504	12.1706	
EGFR	7.9572	9.359	
RFX5	7.1158	6.6834	
NET1	10.452	10.3821	
PKIG	7.7019	7.7676	
DECR1	9.3989	9.5395	
FSD1	8.1722	7.1034	
ATP6V1D	10.2567	10.5253	
CDK6	5.9123	6.2117	
CDC45	9.8289	9.332	
NPC1	8.0467	8.1381	
EDEM1	10.0576	10.6401	
MEST	13.1601	11.5879	
MYLK	8.0894	9.1877	
PAFAH1B3	8.7758	9.4465	
CALU	10.3824	10.7451	
USP6NL	7.3618	7.5913	
LGALS8	9.2365	8.488	
NT5DC2	9.5036	9.1775	
CCP110	7.4324	7.7676	
LRP10	10.021	10.3922	
ATP1B1	9.2277	9.7839	
STK10	6.6729	6.2524	
OXCT1	9.1552	9.3547	
UGDH	8.9797	8.0072	
SLC25A4	9.9776	9.88	
SQRDL	8.9349	8.439	
HEBP1	8.2459	7.9864	
PSMB10	8.7233	8.498	
ASCC3	8.5254	9.5147	
FGFR4	4.7006	4.5916	
CDKN2A	9.8602	10.1112	
TRAM2	5.1103	5.4034	
ATP11B	9.2533	8.1705	
PYCR1	5.1718	5.7578	
CD320	10.5247	10.9204	
NCOA3	9.0895	8.6833	
CDKN1B	9.2207	8.798	
POLD4	7.7309	7.8714	
FOSL1	10.5154	11.0017	
MLLT11	7.2976	7.2093	
CEBPZ	9.192	9.301	
PRKACA	10.6654	9.5615	
GAPDH	15.0	15.0	
CBR3	4.6182	4.4425	
LYRM1	5.3586	6.0745	
